section;indicator_code;indicator_name;subsection;object_name;object_level;object_oktmo;object_okato;year;indicator_value;indicator_unit;comment;source;version_date;value_status
Культура, отдых и туризм;Y477110451;Численность зрителей театров и число посещений музеев на 100;CD;Чувашская Республика;Регион;97000000;97000000;2004;180.0;Человек;Расчет осуществлен на основе данных Минк;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Уровень жизни населения;Y477110328;Предоставление гражданам социальной поддержки (льгот) по опл;CD;Нижегородская область;Регион;22000000;22000000;2010;952.9;Тысяч человек;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Юридические услуги;Y477080017;Индексы потребительских цен на услуги правового характера;CD;Новгородская область;Регион;49000000;49000000;2020;100.0;Декабрь к декабрю предыдущего года, в процентах;CD;Платное обслуживание населения в России 2023;v20260313;ok
Крестьянские (фермерские) хозяйства;Y477060004;Валовой сбор семян подсолнечника в крестьянских (фермерских);CD;Северо-Кавказский федеральный округ;Федеральный округ;00000000;00000000;2019;115.58959999999999;Тысяч тонн;CD;Малое и среднее предпринимательство в России 2022;v20260313;ok
Население;Y477110193;Коэффициенты демографической нагрузки: Всего;CD;Рязанская область;Регион;61000000;61000000;2009;679.0;Оценка на конец года, на 1000 человек трудоспособного возраста приходится лиц нетрудоспособных возрастов;CD;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Труд;Y477110446;Численность государственных гражданских служащих территориал;CD;Ульяновская область;Регион;73000000;73000000;2018;3361.0;Человек;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Жилищные услуги;Y477080002;Индексы потребительских тарифов на жилищные услуги;CD;Сибирский федеральный округ;Федеральный округ;00000000;00000000;2022;110.18;Декабрь к декабрю предыдущего года, в процентах;За 2010‒2018 гг. данные по Сибирскому и ;Платное обслуживание населения в России 2023;v20260313;ok
Потребительский рынок;Y477150017;Оборот розничной торговли и общественного питания субъектов ;Оборот общественного питания: млн руб.;Сибирский федеральный округ;Федеральный округ;00000000;00000000;2022;97196.4;"; для значений в целом по России: млрд руб";Включая данные по микропредприятиям, но ;Торговля в России 2023;v20260313;ok
Наука и инновации;Y477110039;Внутренние затраты на научные исследования и разработки;CD;Камчатский край;Регион;30000000;30000000;2010;1110.6;Миллионов рублей;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Здравоохранение;Y477110078;Заболеваемость на 1000 человек населения по основным классам;CD;Владимирская область;Регион;17000000;17000000;2011;42.1;Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни;"По данным Минздрава России; Данные за 20";Регионы России. Социально-экономические показатели 2024;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110262;Основные показатели по виду деятельности лесозаготовки: Саль;CD;Дальневосточный федеральный округ;Федеральный округ;00000000;00000000;2014;-2628.0;Миллионов рублей;По данным бухгалтерской отчетности, с 20;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Дифференциация доходов и бедность;Y477130044;Среднедушевые денежные доходы и их дефицит в малоимущих дома;Среднедушевые денежные доходы: в крайне бедных домашних хозяйствах;Воронежская область;Регион;20000000;20000000;2022;-77777777.0;По данным выборочного наблюдения доходов населения и участия в социальных программах, рублей в месяц;Домохозяйства, имеющие среднедушевые ден;Социальное положение и уровень жизни населения России 2025;v20260313;hidden
Строительные организации;Y477140049;Структура затрат на производство работ по виду экономической;Страховые взносы в Пенсионный фонд, ФСС, ФФОМС;Кировская область;Регион;33000000;33000000;2010;6.3;В процентах от общего объема затрат;2005 г. — единый социальный налог, 2010‒;Строительство в России 2022;v20260313;ok
Ввод в действие зданий и производственных мощностей;Y477140009;Ввод в действие зданий жилого и нежилого назначения;Общий строительный объем зданий, тыс. м3;Республика Тыва;Регион;93000000;93000000;2022;710.1;ND;Начиная с 2023 года показатель Общий стр;Строительство в России 2024;v20260313;ok
Услуги в области образования;Y477080044;Объем платных услуг в системе образования;CD;Северо-Кавказский федеральный округ;Федеральный округ;00000000;00000000;2022;32987.6549;Миллионов рублей;CD;Платное обслуживание населения в России 2023;v20260313;ok
Цены и тарифы;Y477110130;Индексы цен на первичном рынке жилья;CD;Московская область;Регион;46000000;46000000;2001;117.9;На конец года, в процентах к концу предыдущего года;В отдельных субъектах Российской Федерац;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110009;Валовой сбор льноволокна;CD;Московская область;Регион;46000000;46000000;2002;0.118;В хозяйствах всех категорий, тысяч тонн;По городу федерального значения Москве и;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Предприятия и организации;Y477110415;Удельный вес убыточных организаций;CD;Тамбовская область;Регион;68000000;68000000;2016;25.1;В процентах от общего числа организаций;По данным бухгалтерской отчетности, с 20;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Субъекты малого и среднего предпринимательства — юридические лица;Y477060040;Оборот средних предприятий по виду экономической деятельност;CD;Северо-Кавказский федеральный округ;Федеральный округ;00000000;00000000;2020;20.596744;Миллиардов рублей;Данные за 2020 г. приведены по показател;Малое и среднее предпринимательство в России 2022;v20260313;ok
Ресурсы и деятельность организаций здравоохранения;Y477040056;Число больничных коек по специализации на 31 декабря;Из всего числа коек-койки для детей;Республика Северная Осетия — Алания;Регион;90000000;90000000;2024;834.0;ND;CD;Здравоохранение в России 2025;v20260313;ok
Занятость, безработица и заработная плата;Y477020005;Женщины и мужчины, занятые на работах с вредными и (или) опа;Удельный вес в численности занятых соответствующего пола: женщины;Сибирский федеральный округ;Федеральный округ;00000000;00000000;2021;22.74400666169961;Без субъектов малого предпринимательства, в процентах от общей численности работников организаций соответствующего вида деятельности;CD;Женщины и мужчины России 2022;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110271;Основные показатели по виду экономической деятельности рыбов;CD;Ставропольский край;Регион;07000000;07000000;2017;-77777777.0;Процентов;По данным бухгалтерской отчетности, с 20;Регионы России. Социально-экономические показатели 2023;v20260313;hidden
Денежные доходы населения и их использование;Y477130014;Номинальные и реальные денежные доходы населения;Среднедушевые денежные доходы (в месяц), руб.;Российская Федерация;Страна;00000000;00000000;2023;53579.0;ND;CD;Социальное положение и уровень жизни населения России 2025;v20260313;ok
Промышленное производство;Y477110121;Индексы производства по виду экономической деятельности прои;CD;Чеченская Республика;Регион;96000000;96000000;2010;102.1;В процентах к предыдущему году;Данные сформированы по полному кругу орг;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Реализация программ в сфере жилищно-коммунального хозяйства;Y477030076;Число многодетных семей, состоящих на учете в качестве нужда;Число многодетных семей: состоящих на учете в качестве нуждающихся в жилых помещениях (на конец года);Сахалинская область;Регион;64000000;64000000;2019;333.0;Семей;CD;Жилищное хозяйство в России 2022;v20260313;ok
Инвестиции в основной капитал;Y477050021;Сведения о распределении договоров финансового лизинга по ме;В том числе лизинга: зданий (кроме жилых) и сооруже-ний;Иркутская область;Регион;25000000;25000000;2014;28.6;Миллионов рублей;CD;Инвестиции в России 2023;v20260313;ok
Торговля и услуги населению;Y477110253;Объем телекоммуникационных услуг населению: На душу населени;CD;Чукотский автономный округ;Регион;77000000;77000000;2010;12298.072395961584;Рублей;С 2017 г. — телекоммуникационные услуги ;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Уровень жизни населения;Y477110374;Среднедушевые денежные доходы населения;CD;Российская Федерация;Страна;00000000;00000000;2008;14864.0;В месяц, рублей;До 2013 г. расчеты произведены в соответ;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Субъекты малого и среднего предпринимательства — юридические лица;Y477060001;Валовая добавленная стоимость, созданная субъектами малого и;CD;Новгородская область;Регион;49000000;49000000;2010;63703.463247868254;Миллионов рублей;CD;Малое и среднее предпринимательство в России 2024;v20260313;ok
Земельные ресурсы и охрана окружающей природной среды;Y477110159;Использование свежей воды;CD;Приморский край;Регион;05000000;05000000;2005;501.0;Миллионов кубических метров;По данным Федерального агенства водных р;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Инвестиции в основной капитал;Y477050017;Инвестиции в основной капитал по направлениям;Модернизация и реконструкция: здания и сооружения, расходы на улучшение земель;Республика Тыва;Регион;93000000;93000000;2019;83.5;В процентах от общего объема инвестиций в основной капитал по направлениям;Без субъектов малого предпринимательства;Инвестиции в России 2023;v20260313;ok
Образование;Y477110057;Выпуск обучающихся организациями, осуществляющих образовател;CD;Тамбовская область;Регион;68000000;68000000;2009;5.9;Тысяч человек;До 2016 г. — выпуск обучающихся государс;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110263;Основные показатели по виду деятельности лесозаготовки: Сред;CD;Москва;Регион;45000000;45000000;2006;-77777777.0;Человек;Данные за 2005‒2016 гг. приведены в соот;Регионы России. Социально-экономические показатели 2023;v20260313;hidden
Уровень и динамика цен производителей промышленных товаров;Y477190005;Индексы цен (тарифов) на товары и услуги: Индексы цен произв;CD;Уральский федеральный округ;Федеральный округ;00000000;00000000;2018;124.47;Декабрь к декабрю предыдущего года, в процентах;2019;Цены в России 2022;v20260313;ok
Услуги в сфере телекоммуникаций;Y477080077;Удельный вес отдельных видов услуг в сфере телекоммуникаций,;Мобильная связь;Камчатский край;Регион;30000000;30000000;2024;84.41331085087259;В процентах;Информация приведена по данным Минцифры ;Платное обслуживание населения в России 2025;v20260313;ok
Бытовые услуги;Y477080062;Показатели платных услуг по ремонту и пошиву швейных, меховы;Объем услуг, млн руб.;Новгородская область;Регион;49000000;49000000;2020;72.9322;ND;CD;Платное обслуживание населения в России 2023;v20260313;ok
Предприятия и организации;Y477110366;Сальдированный финансовый результат (прибыль минус убыток) д;CD;Российская Федерация;Страна;00000000;00000000;2005;3225916.0;Миллионов рублей;По данным бухгалтерской отчетности, с 20;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Предприятия и организации;Y477110200;Кредиторская задолженность организаций: Просроченная;CD;Камчатский край;Регион;30000000;30000000;2009;9711.0;На конец года, миллионов рублей;2000, 2001, 2002 гг. — без учета данных ;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Здравоохранение;Y477110090;Заболеваемость на 1000 человек населения по основным классам;CD;Архангельская область (без автономного округа);Регион;11000000;11000000;2007;51.4;Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни;"По данным Минздрава России; Данные за 20";Регионы России. Социально-экономические показатели 2024;v20260313;ok
Государственные финансы;Y477180015;Задолженность по налоговым платежам и сборам в консолидирова;Задолженность;Северо-Западный федеральный округ;Федеральный округ;00000000;00000000;2019;63337.252;"На начало года, миллионов рублей; для значений в целом по России: млрд руб";По данным Федеральной налоговой службы. ;Финансы в России 2022;v20260313;ok
Состояние жилищного фонда;Y477030049;Распределение числа домов блокированной застройки по годам п;Годы постройки: 1946‒1970;Мурманская область;Регион;47000000;47000000;2024;821.0;Единиц;CD;Жилищное хозяйство в России 2025;v20260313;ok
Инвестиции;Y477110108;Инвестиции в основной капитал на душу населения;CD;Хабаровский край;Регион;08000000;08000000;2012;134157.2;В фактически действовавших ценах, рублей;Данные за 2011‒2021 годы пересчитаны с у;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Транспорт;Y477110296;Плотность железнодорожных путей общего пользования;CD;Санкт-Петербург;Регион;40000000;40000000;2012;3204.0;На конец года, км путей на 10000 км2 территории;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Услуги учреждений культуры;Y477080033;Индексы физического объема платных услуг учреждений культуры;CD;Российская Федерация;Страна;00000000;00000000;2024;107.1;В процентах к предыдущему году;CD;Платное обслуживание населения в России 2025;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110277;Основные показатели по виду экономической деятельности рыбол;CD;Еврейская автономная область;Регион;99000000;99000000;2008;-77777777.0;Процентов;По данным бухгалтерской отчетности, с 20;Регионы России. Социально-экономические показатели 2023;v20260313;hidden
Ресурсы и деятельность организаций здравоохранения;Y477040054;Число больничных коек по специализации на 10000 населения;Офтальмологические;Республика Адыгея;Регион;79000000;79000000;2022;0.9;ND;Койки круглосуточных стационаров (без ко;Здравоохранение в России 2023;v20260313;ok
Состояние здоровья и медицинское обслуживание населения;Y477130041;Смертность населения по основным классам причин смертности;Число умерших на 100 000 человек населения от: внешних причин смерти;Сибирский федеральный округ;Федеральный округ;00000000;00000000;2022;126.8;ND;Данные за 2021 г. публикуются без учета ;Социальное положение и уровень жизни населения России 2023;v20260313;ok
Информационные и коммуникационные технологии;Y477110173;Использование широкополосного доступа к сети интернет в орга;CD;Ханты-Мансийский автономный округ — Югра;Регион;71800000;71100000;2006;41.2;В процентах от общего числа обследованных организаций;Федеральное статистическое наблюдение ос;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Состояние здоровья населения;Y477040017;Контингенты пациентов с психическими расстройствами и расстр;На 100 000 человек населения;Санкт-Петербург;Регион;40000000;40000000;2021;1179.7;Численность пациентов, состоящих под диспансерным наблюдением, на конец года;Данные за 2015‒2024 гг. рассчитаны с уче;Здравоохранение в России 2025;v20260313;ok
Услуги в области образования;Y477080015;Индексы потребительских цен на услуги образования;CD;Новгородская область;Регион;49000000;49000000;2020;102.0;Декабрь к декабрю предыдущего года, в процентах;CD;Платное обслуживание населения в России 2023;v20260313;ok
Строительство;Y477110023;Ввод в действие мощностей амбулаторно-поликлинических органи;CD;Иркутская область;Регион;25000000;25000000;2003;100.0;Посещений в смену;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Земельные ресурсы и охрана окружающей природной среды;Y477110159;Использование свежей воды;CD;Республика Ингушетия;Регион;26000000;26000000;2020;103.98;Миллионов кубических метров;По данным Федерального агенства водных р;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Строительство;Y477110024;Ввод в действие мощностей амбулаторно-поликлинических органи;CD;Республика Ингушетия;Регион;26000000;26000000;2001;22.0;Посещений в смену;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Уровень жизни населения;Y477110470;Численность пенсионеров: На 1000 человек населения;CD;Чукотский автономный округ;Регион;77000000;77000000;2003;233.6;ND;Данные приведены по состоянию на 1 январ;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Уровень жизни населения;Y477110364;Реальные денежные доходы: Реальный размер назначенных пенсий;CD;Республика Мордовия;Регион;89000000;89000000;2014;103.8;В процентах к предыдущему году;2015 г. — в целях обеспечения статистиче;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Платные услуги населению;Y477080029;Индексы физического объема платных услуг населению;CD;Северо-Западный федеральный округ;Федеральный округ;00000000;00000000;2020;84.6;В процентах к предыдущему году;CD;Платное обслуживание населения в России 2023;v20260313;ok
Организации;Y477110062;Дебиторская задолженность организаций: Всего;CD;Смоленская область;Регион;66000000;66000000;2013;53342.0;На конец года, миллионов рублей;2000, 2001, 2002 гг. — без учета данных ;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Уровень жизни населения;Y477110325;Предоставление гражданам жилых помещений: Число семей, состо;CD;Хабаровский край;Регион;08000000;08000000;2015;13.1;На конец года, тысяч;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Население;Y477110050;Возрастной состав населения: Население в трудоспособном возр;CD;Архангельская область (с автономным округом);Регион;11000000;11000000;2008;63.3;Оценка на конец года, в процентах от общей численности населения;2000‒2018 гг. — мужчины в возрасте 16‒59;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Промышленное производство;Y477110244;Объем отгруженных товаров собственного производства, выполне;CD;Республика Адыгея;Регион;79000000;79000000;2006;6366.0;В фактически действовавших ценах, миллионов рублей;Данные сформированы по полному кругу орг;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Охрана атмосферного воздуха;Y477070004;Выбросы загрязняющих атмосферу веществ, отходящих от стацион;CD;Республика Тыва;Регион;93000000;93000000;2022;9.0;Тысяч тонн;По данным Росприроднадзора;Охрана окружающей среды в России 2024;v20260313;ok
Транспорт;Y477110494;Число дорожно-транспортных происшествий на 100000 человек на;CD;Тверская область;Регион;28000000;28000000;2005;189.1;ND;Данные за 2011‒2021 годы пересчитаны с у;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Субъекты малого и среднего предпринимательства — юридические лица;Y477060032;Оборот оптовой торговли малых предприятий;CD;Ненецкий автономный округ;Регион;11800000;11100000;2019;0.1413846;Миллиардов рублей;Включая микропредприятия;Малое и среднее предпринимательство в России 2022;v20260313;ok
Наука и инновации;Y477110041;Внутренние текущие затраты на научные исследования и разрабо;CD;Северо-Западный федеральный округ;Федеральный округ;00000000;00000000;2001;3415.7;Миллионов рублей;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Информационные и коммуникационные технологии;Y477110498;Число подключенных абонентских устройств мобильной связи на ;CD;Российская Федерация;Страна;00000000;00000000;2006;1080.8;На конец года, штук;Данные за 2011‒2021 годы без учета итого;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Субъекты малого и среднего предпринимательства — юридические лица;Y477060042;Оборот средних предприятий по виду экономической деятельност;CD;Владимирская область;Регион;17000000;17000000;2021;25.7744662;Миллиардов рублей;Знак … означает, что данные не публикуют;Малое и среднее предпринимательство в России 2024;v20260313;ok
Предприятия и организации;Y477110477;Численность работников, перед которыми организация имеет про;CD;Чукотский автономный округ;Регион;77000000;77000000;2019;-77777777.0;На конец года, тысяч человек;Без субъектов малого предпринимательства;Регионы России. Социально-экономические показатели 2023;v20260313;hidden
Денежные доходы населения и их использование;Y477130024;Покупательная способность среднедушевых денежных доходов нас;Морковь;Чукотский автономный округ;Регион;77000000;77000000;2024;691.1;ND;CD;Социальное положение и уровень жизни населения России 2025;v20260313;ok
Рабочая сила;Y477100024;Численность рабочей силы по возрастным группам;Всего, тыс. человек;Республика Тыва;Регион;93000000;93000000;2021;127.04517552925088;ND;CD;Рабочая сила, занятость и безработица в России 2022;v20260313;ok
Состояние здоровья населения;Y477040010;Заболеваемость населения социально значимыми болезнями;Зарегистрировано заболеваний у пациентов с диагнозом, установленным впервые в жизни: гепатит В, ед.;Приморский край;Регион;05000000;05000000;2024;7.43;ND;CD;Здравоохранение в России 2025;v20260313;ok
Культура, отдых и туризм;Y477110228;Общедоступные библиотеки: Численность пользователей;CD;Еврейская автономная область;Регион;99000000;99000000;2012;53.0;Тысяч человек;По данным Минкультуры России;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Финансы;Y477110387;Средства (вклады) юридических и физических лиц в иностранной;CD;Тверская область;Регион;28000000;28000000;2011;3840.0;Исходя из места привлечения средств, на начало года, миллионов рублей;По данным Банка России;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Транспортные услуги;Y477080005;Индексы потребительских тарифов на услуги пассажирского тран;CD;Российская Федерация;Страна;00000000;00000000;2010;108.7;Декабрь к декабрю предыдущего года, в процентах;CD;Платное обслуживание населения в России 2023;v20260313;ok
Наука и инновации;Y477110236;Объем инновационных товаров, работ, услуг: Всего;CD;Тамбовская область;Регион;68000000;68000000;2019;15999.6833;Миллионов рублей;Данные не публикуются в целях обеспечени;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Наука и инновации;Y477110045;Внутренние текущие затраты на научные исследования и разрабо;CD;Республика Крым;Регион;35000000;35000000;2014;110.4;Миллионов рублей;ОПС — обязательное пенсионное страховани;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Население;Y477110354;Распределение числа выбывших по направлениям передвижения: В;CD;Санкт-Петербург;Регион;40000000;40000000;2010;31.8;В процентах от общего числа выбывших;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Основные экономические показатели транспорта;Y477160007;Сальдированный финансовый результат (прибыль минус убыток) о;Деятельность морского пассажирского транспорта;Воронежская область;Регион;20000000;20000000;2021;-77777777.0;Миллионов рублей;Данные по виду деятельности Транспортиро;Транспорт в России 2022;v20260313;hidden
Отдельные показатели деятельности предприятий и организаций промышленности по субъектам и федеральным округам российской федерации;Y477090003;Индексы производства по виду экономической деятельности обес;CD;Вологодская область;Регион;19000000;19000000;2023;101.2;В процентах к предыдущему году;Данные за 2022 г. уточнены в соответстви;Промышленное производство в России 2025;v20260313;ok
Рождаемость;Y477010004;Прерывание беременности (аборты);Число абортов на 100 родов;Российская Федерация;Страна;00000000;00000000;2014;48.0;ND;CD;Демографический ежегодник России 2023;v20260313;ok
Субъекты малого и среднего предпринимательства — юридические лица;Y477060054;Сальдированный финансовый результат (прибыль минус убыток) д;CD;Хабаровский край;Регион;08000000;08000000;2020;2652.0;По данным бухгалтерской отчетности, миллионов рублей;Знак (-) означает убыток;Малое и среднее предпринимательство в России 2022;v20260313;ok
Социально-экономическое развитие;Y477130055;Фактическое конечное потребление домашних хозяйств на террит;В том числе за счет: расходов домашних хозяйситв;Приволжский федеральный округ;Федеральный округ;00000000;00000000;2020;8348229.5;ND;CD;Социальное положение и уровень жизни населения России 2023;v20260313;ok
Денежное обращение и кредит;Y477180011;Задолженность по кредитам в иностранной валюте, предоставлен;В том числе по жилищным кредитам;Чувашская Республика;Регион;97000000;97000000;2021;20.0;Исходя из местонахождения заемщиков, на начало года, миллионов рублей;По данным Банка России;Финансы в России 2022;v20260313;ok
Уровень жизни населения;Y477110315;Потребление молока и молочных продуктов на душу населения;CD;Калининградская область;Регион;27000000;27000000;2009;241.0;В год, килограммов;Данные за 2011‒2021 годы пересчитаны с у;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Жилищные услуги;Y477080020;Индексы физического объема жилищных услуг населению;CD;Ярославская область;Регион;78000000;78000000;2021;116.0;В процентах к предыдущему году;CD;Платное обслуживание населения в России 2023;v20260313;ok
Участие в рабочей силе, занятость и безработица;Y477170035;Уровень занятости по полу и типу поселения;Из них: город;Орловская область;Регион;54000000;54000000;2022;55.113286667109;В процентах;Данные за предыдущие годы опубликованы н;Труд и занятость в России 2023;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110272;Основные показатели по виду экономической деятельности рыбов;CD;Удмуртская Республика;Регион;94000000;94000000;2009;12.0;На конец года;"По данным государственной регистрации; Д";Регионы России. Социально-экономические показатели 2023;v20260313;ok
Торговля и услуги населению;Y477110255;Объем транспортных услуг: На душу населения;CD;Ивановская область;Регион;24000000;24000000;2005;1253.1699931623577;Рублей;Данные за 2011‒2021 годы пересчитаны с у;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Движение работников организаций, использование рабочего времени, трудовая миграция;Y477170011;Списочная численность работников и потребность организаций в;Потребность в работниках для замещения вакантных рабочих мест, человек;Российская Федерация;Страна;00000000;00000000;2024;2231703.15;Без субъектов малого предпринимательства, по данным выборочного обследования организаций;CD;Труд и занятость в России 2025;v20260313;ok
Занятость и безработица;Y477130032;Распределение численности занятых в неформальном секторе эко;Всего, тысяч человек;Свердловская область;Регион;65000000;65000000;2021;303.89864265799997;По данным выборочных обследований рабочей силы, в среднем за год;Данные за 2021‒2022 гг. публикуются без ;Социальное положение и уровень жизни населения России 2023;v20260313;ok
Услуги в области туризма;Y477080014;Индексы потребительских цен на услуги гостиниц;CD;Московская область;Регион;46000000;46000000;2024;109.3;Декабрь к декабрю предыдущего года, в процентах;До 2021 года — Проживание в гостинице, з;Платное обслуживание населения в России 2025;v20260313;ok
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110009;Валовой сбор льноволокна;CD;Республика Ингушетия;Регион;26000000;26000000;2011;-77777777.0;В хозяйствах всех категорий, тысяч тонн;CD;Регионы России. Социально-экономические показатели 2023;v20260313;hidden
Цены и тарифы;Y477110133;Индексы цен производителей промышленных товаров по видам эко;CD;Тамбовская область;Регион;68000000;68000000;2001;-77777777.0;Декабрь к декабрю предыдущего года, в процентах;В соответствии с ОКВЭД-2007. На товары, ;Регионы России. Социально-экономические показатели 2023;v20260313;hidden
