section;indicator_code;indicator_name;subsection;object_name;object_level;object_oktmo;object_okato;year;indicator_value;indicator_unit;comment;source;version_date;value_status
Население;Y477110051;Возрастной состав населения: Население моложе трудоспособног;CD;Омская область;Регион;52000000;52000000;2021;19.7;Оценка на конец года, в процентах от общей численности населения;CD;Регионы России. Социально-экономические показатели 2024;v20260313;ok
Культура, отдых и туризм;Y477110480;Численность российских туристов, обслуженных туристскими фир;CD;Ивановская область;Регион;24000000;24000000;2004;16.101;Тысяч человек;Статистическое наблюдение ведется с 2002;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Основные показатели сельского хозяйства;Y477120010;Валовой сбор семян подсолнечника (в весе после доработки);CD;Республика Адыгея;Регион;79000000;79000000;2021;106.86578;В хозяйствах всех категорий, тысяч тонн;CD;Сельское хозяйство в России 2023;v20260313;ok
Информационные и коммуникационные технологии;Y477110168;Использование цифровых технологий в организациях: Организаци;CD;Чувашская Республика;Регион;97000000;97000000;2010;94.2;В процентах от общего числа обследованных организаций соответствующего субъекта Российской федерации;Федеральное статистическое наблюдение ос;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Состояние здоровья населения;Y477040006;Заболеваемость детей в возрасте 0‒14 лет по основным классам;Болезни органов дыхания;Удмуртская Республика;Регион;94000000;94000000;2023;1365.6;Зарегистрировано заболеваний у пациентов с диагнозом, установленном впервые в жизни, на 1000 человек населения соответствующего возраста;CD;Здравоохранение в России 2025;v20260313;ok
Дифференциация доходов и бедность;Y477130043;Соотношение среднемесячной номинальной начисленной заработно;CD;Российская Федерация;Страна;00000000;00000000;2022;430.64856314263113;В процентах;CD;Социальное положение и уровень жизни населения России 2023;v20260313;ok
Уровень жизни населения;Y477110470;Численность пенсионеров: На 1000 человек населения;CD;Республика Крым;Регион;35000000;35000000;2014;-99999999.0;ND;Данные приведены по состоянию на 1 январ;Регионы России. Социально-экономические показатели 2024;v20260313;no_data
Сельское, лесное хозяйство, рыболовство и рыбоводство;Y477110013;Валовой сбор семян подсолнечника (в весе после доработки);CD;Ставропольский край;Регион;07000000;07000000;2010;324.4;В хозяйствах всех категорий, тысяч тонн;С 2010 г. — в весе после доработки, до 2;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Государственные финансы;Y477180026;Отдельные направления расходов консолидированных бюджетов су;Жилищно-коммунальное хозяйство;Российская Федерация;Страна;00000000;00000000;2021;1687.65911715423;"Миллионов рублей; для значений в целом по России: млрд руб";По данным Федерального казначейства;Финансы в России 2022;v20260313;ok
Торговля и услуги населению;Y477110238;Объем коммунальных услуг: На душу населения;CD;Ставропольский край;Регион;07000000;07000000;2014;10953.2;Рублей;Данные за 2011‒2021 годы публикуются без;Регионы России. Социально-экономические показатели 2023;v20260313;ok
Торговля и услуги населению;Y477110247;Объем платных услуг населению: Всего;CD;Рязанская область;Регион;61000000;61000000;2009;22363.768399999997;Миллионов рублей;CD;Регионы России. Социально-экономические показатели 2023;v20260313;ok
