indicator_code;indicator_name;section;primary_unit
Y477030015;Дорожное хозяйство городов и поселков городского типа;Жилищные условия населения;
Y477030016;Жилищный фонд;Состояние жилищного фонда;На конец года, общая площадь жилых помещений, миллионов квадратных метров
Y477030017;Жилищный фонд, находящийся в собственности граждан;Состояние жилищного фонда;Общая площадь жилых помещений, миллионов квадратных метров
Y477030018;Жилищный фонд, находящийся в частной собственности граждан;Состояние жилищного фонда;Общая площадь жилых помещений, миллионов квадратных метров
Y477030019;Задолженность по жилищным кредитам в иностранной валюте, предоставленным кредитными организациями физическим лицам;Строительство и рынок жилья;Исходя из местонахождения заемщиков, на начало года, миллионов рублей
Y477030020;Задолженность по жилищным кредитам в рублях, предоставленным кредитными организациями физическим лицам;Строительство и рынок жилья;Исходя из местонахождения заемщиков, на начало года, миллионов рублей
Y477030021;Задолженность по ипотечным жилищным кредитам в иностранной валюте, предоставленным кредитными организациями физическим лицам;Строительство и рынок жилья;Исходя из местонахождения заемщиков, на начало года, миллионов рублей
Y477030022;Задолженность по ипотечным жилищным кредитам в рублях, предоставленным кредитными организациями физическим лицам;Строительство и рынок жилья;Исходя из местонахождения заемщиков, на начало года, миллионов рублей
Y477030023;Заменено водопроводных сетей;Жилищные условия населения;
Y477030024;Заменено канализационных сетей;Жилищные условия населения;
Y477030025;Заменено тепловых и паровых сетей в двухтрубном исчислении;Жилищные условия населения;
Y477030026;Зеленые массивы и насаждения в городах;Жилищные условия населения;
Y477030027;Инвестиции в жилые здания и помещения;Инвестиции и финансовое состояние жилищно-коммунального хозяйства;В фактически действовавших ценах, миллионов рублей
Y477030028;Инвестиции в основной капитал, направленные на развитие видов экономической деятельности, относящихся к коммунальному хозяйству;Инвестиции и финансовое состояние жилищно-коммунального хозяйства;В фактически действовавших ценах, миллионов рублей
Y477030029;Индексы потребительских тарифов на жилищно-коммунальные услуги;Реализация программ в сфере жилищно-коммунального хозяйства;Декабрь к декабрю предыдущего года, в процентах
Y477030030;Индексы потребительских тарифов на жилищные и коммунальные услуги;Реализация программ в сфере жилищно-коммунального хозяйства;Декабрь к декабрю предыдущего года, в процентах
Y477030031;Индексы цен на первичном и вторичном рынках жилья;Строительство и рынок жилья;На конец года, в процентах к концу предыдущего года
Y477030032;Муниципальный жилищный фонд;Состояние жилищного фонда;Общая площадь жилых помещений, миллионов квадратных метров
Y477030033;Наличие основных фондов организаций по видам экономической деятельности, относящихся к жилищно-коммунальному хозяйству и бытовому обслуживанию населения, на конец года;Жилищные условия населения;По полной учетной стоимости, миллионов рублей
Y477030034;Общая площадь жилых помещений, приходящаяся в среднем на одного жителя;Жилищные условия населения;Квадратных метров
Y477030035;Общая площадь жилых помещений, приходящаяся в среднем на одного жителя в городских поселениях;Жилищные условия населения;Квадратных метров
Y477030036;Общая площадь жилых помещений, приходящаяся в среднем на одного жителя в сельской местности;Жилищные условия населения;Квадратных метров
Y477030037;Объем и уровень фактических платежей населения за жилое помещение и коммунальные услуги;Реализация программ в сфере жилищно-коммунального хозяйства;Миллионов рублей
Y477030038;Объем отпуска коммунальных услуг, счет за которые выставлен по показаниям приборов учета;Реализация программ в сфере жилищно-коммунального хозяйства;
Y477030039;Одиночное протяжение уличных водопроводных сетей;Жилищные условия населения;Тысяч километров
Y477030040;Одиночное протяжение уличных канализационных сетей;Жилищные условия населения;На конец года, километров
Y477030041;Потери тепла в сетях;Жилищные условия населения;В процентах от подачи тепла
Y477030042;Предоставление гражданам социальной поддержки по оплате жилого помещения и коммунальных услуг;Реализация программ в сфере жилищно-коммунального хозяйства;
Y477030043;Предоставление детям-сиротам и детям, оставшимся без попечения родителей, жилых помещений;Жилищные условия населения;Единиц
Y477030044;Протяженность тепловых и паровых сетей в двухтрубном исчислении;Жилищные условия населения;Тысяч километров
Y477030045;Распределение жилищного фонда по формам собственности;Состояние жилищного фонда;В процентах
Y477030046;Распределение общей площади жилых помещений по годам постройки;Состояние жилищного фонда;Тысяч квадратных метров
Y477030047;Распределение общей площади жилых помещений по материалу стен;Состояние жилищного фонда;Тысяч квадратных метров
Y477030048;Распределение общей площади жилых помещений по проценту износа;Состояние жилищного фонда;Не конец года, тысяч квадратных метров
Y477030049;Распределение числа домов блокированной застройки по годам постройки;Состояние жилищного фонда;Единиц
Y477030050;Распределение числа домов блокированной застройки по материалу стен;Состояние жилищного фонда;Единиц
Y477030051;Распределение числа домов блокированной застройки по проценту износа;Состояние жилищного фонда;На конец года
Y477030052;Распределение числа жилых домов (индивидуально-определенных зданий) по годам постройки;Состояние жилищного фонда;Единиц
Y477030053;Распределение числа жилых домов (индивидуально-определенных зданий) по материалу стен;Состояние жилищного фонда;Единиц
Y477030054;Распределение числа жилых домов (индивидуально-определенных зданий) по проценту износа;Состояние жилищного фонда;Единиц
Y477030055;Распределение числа многоквартирных домов по годам постройки;Состояние жилищного фонда;Единиц
Y477030056;Распределение числа многоквартирных домов по материалу стен;Состояние жилищного фонда;Единиц
Y477030057;Распределение числа многоквартирных домов по проценту износа;Состояние жилищного фонда;На конец года
