indicator_code;indicator_name;section;primary_unit
Y477060042;Оборот средних предприятий по виду экономической деятельности торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов;Субъекты малого и среднего предпринимательства — юридические лица;Миллиардов рублей
Y477060043;Оборот средних предприятий по виду экономической деятельности торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов по субъектам РФ;Субъекты малого и среднего предпринимательства — юридические лица;Миллиардов рублей
Y477060044;Оборот средних предприятий по виду экономической деятельности торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами;Субъекты малого и среднего предпринимательства — юридические лица;Миллиардов рублей
Y477060045;Оборот средних предприятий по виду экономической деятельности торговля розничная, кроме торговли автотранспортными средствами и мотоциклами;Субъекты малого и среднего предпринимательства — юридические лица;Миллиардов рублей
Y477060046;Оборот средних предприятий по виду экономической деятельности транспортировка и хранение;Субъекты малого и среднего предпринимательства — юридические лица;Миллиардов рублей
Y477060047;Объем выручки (с учетом налогов и аналогичных обязательных платежей) от продажи товаров, продукции, работ, услуг по всем видам деятельности индивидуальных предпринимателей;Индивидуальные предприниматели;Миллиардов рублей
Y477060048;Объём субсидий, выделенный из федерального бюджета на государственную поддержку малого и среднего предпринимательства, а также физических лиц, применяющих специальный налоговый режим налог на профессиональный доход, бюджетам субъектов Российской Федерации;Государственная поддержка субъектов малого и среднего предпринимательства;Тысяч рублей
Y477060049;Объём субсидий, выделенный из федерального бюджета на государственную поддержку малого и среднего предпринимательства, включая крестьянские (фермерские) хозяйства, бюджетам субъектов Российской Федерации;Государственная поддержка субъектов малого и среднего предпринимательства;Тысяч рублей
Y477060050;Производство молока в крестьянских (фермерских) хозяйствах;Крестьянские (фермерские) хозяйства;Тысяч тонн
Y477060051;Производство скота и птицы на убой в крестьянских (фермерских) хозяйствах;Крестьянские (фермерские) хозяйства;В убойном весе, тысяч тонн
Y477060052;Сальдированный финансовый результат (прибыль минус убыток) деятельности малых предприятий;Субъекты малого и среднего предпринимательства — юридические лица;По данным бухгалтерской отчетности, миллионов рублей
Y477060053;Сальдированный финансовый результат (прибыль минус убыток) деятельности микропредприятий;Субъекты малого и среднего предпринимательства — юридические лица;По данным бухгалтерской отчетности, в процентах к предыдущему году
Y477060054;Сальдированный финансовый результат (прибыль минус убыток) деятельности средних предприятий;Субъекты малого и среднего предпринимательства — юридические лица;По данным бухгалтерской отчетности, в процентах к предыдущему году
Y477060055;Средняя численность работников малых предприятий;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060056;Средняя численность работников малых предприятий по виду экономической деятельности деятельность по операциям с недвижимым имуществом;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060057;Средняя численность работников малых предприятий по виду экономической деятельности деятельность по операциям с недвижимым имуществом по субъектам РФ;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060058;Средняя численность работников малых предприятий по виду экономической деятельности обрабатывающие производства;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060059;Средняя численность работников малых предприятий по виду экономической деятельности строительство;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060060;Средняя численность работников малых предприятий по виду экономической деятельности строительство по субъектам РФ;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060061;Средняя численность работников малых предприятий по виду экономической деятельности торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060062;Средняя численность работников малых предприятий по виду экономической деятельности торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов по субъектам РФ;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060063;Средняя численность работников малых предприятий по виду экономической деятельности транспортировка и хранение;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060064;Средняя численность работников малых предприятий по виду экономической деятельности транспортировка и хранение по субъектам РФ;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060065;Средняя численность работников микропредприятий;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060066;Средняя численность работников микропредприятий по виду экономической деятельности деятельность по операциям с недвижимым имуществом;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060067;Средняя численность работников микропредприятий по виду экономической деятельности деятельность по операциям с недвижимым имуществом по субъектам РФ;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060068;Средняя численность работников микропредприятий по виду экономической деятельности обрабатывающие производства;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060069;Средняя численность работников микропредприятий по виду экономической деятельности строительство;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060070;Средняя численность работников микропредприятий по виду экономической деятельности торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060071;Средняя численность работников микропредприятий по виду экономической деятельности торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов по субъектам РФ;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060072;Средняя численность работников микропредприятий по виду экономической деятельности транспортировка и хранение;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060073;Средняя численность работников микропредприятий по виду экономической деятельности транспортировка и хранение по субъектам РФ;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060074;Средняя численность работников средних предприятий;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060075;Средняя численность работников средних предприятий по виду экономической деятельности деятельность по операциям с недвижимым имуществом;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060076;Средняя численность работников средних предприятий по виду экономической деятельности деятельность по операциям с недвижимым имуществом по субъектам РФ;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060077;Средняя численность работников средних предприятий по виду экономической деятельности обрабатывающие производства;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060078;Средняя численность работников средних предприятий по виду экономической деятельности строительство;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060079;Средняя численность работников средних предприятий по виду экономической деятельности строительство по субъектам РФ;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060080;Средняя численность работников средних предприятий по виду экономической деятельности торговля оптовая и розничная, ремонт автотранспортных средств и мотоциклов;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060081;Средняя численность работников средних предприятий по виду экономической деятельности торговля оптовая и розничная, ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования по субъектам РФ;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060082;Средняя численность работников средних предприятий по виду экономической деятельности транспортировка и хранение;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060083;Средняя численность работников средних предприятий по виду экономической деятельности транспортировка и хранение по субъектам РФ;Субъекты малого и среднего предпринимательства — юридические лица;Тысяч человек
Y477060084;Удельный вес индивидуальных предпринимателей в общем объеме оборота розничной торговли субъекта Российской Федерации;Индивидуальные предприниматели;В процентах
Y477060085;Удельный вес малых предприятий в общем объеме оборота общественного питания субъекта Российской Федерации;Субъекты малого и среднего предпринимательства — юридические лица;В процентах
Y477060086;Удельный вес малых предприятий в общем объеме оборота оптовой торговли субъекта Российской Федерации;Субъекты малого и среднего предпринимательства — юридические лица;В процентах
Y477060087;Удельный вес малых предприятий в общем объеме оборота розничной торговли субъекта Российской Федерации;Субъекты малого и среднего предпринимательства — юридические лица;В процентах
Y477060088;Удельный вес средних предприятий в общем объеме оборота общественного питания субъекта Российской Федерации;Субъекты малого и среднего предпринимательства — юридические лица;В процентах
Y477060089;Удельный вес средних предприятий в общем объеме оборота оптовой торговли субъекта Российской Федерации;Субъекты малого и среднего предпринимательства — юридические лица;В процентах
Y477060090;Удельный вес средних предприятий в общем объеме оборота розничной торговли субъекта Российской Федерации;Субъекты малого и среднего предпринимательства — юридические лица;В процентах
Y477060091;Численность занятых в сфере индивидуального предпринимательства;Индивидуальные предприниматели;Тысяч человек
Y477060092;Число наемных работников занятых, в сфере индивидуального предпринимательства;Индивидуальные предприниматели;Тысяч человек
Y477060093;Число партнеров, занятых в сфере индивидуального предпринимательства;Индивидуальные предприниматели;Тысяч человек
Y477060094;Число помогающих членов семьи, занятых в сфере индивидуального предпринимательства;Индивидуальные предприниматели;Тысяч человек
Y477060095;Число фактически действующих индивидуальных предпринимателей;Индивидуальные предприниматели;Тысяч человек
Y477070001;Ввод молодняков в категорию хозяйственно-ценных лесных насаждений;Лесные ресурсы;Тысяч гектаров
Y477070002;Виды экологических троп и маршрутов на территории государственных природных заповедников и национальных парков;Сохранение биологического разнообразия;
Y477070003;Выбросы загрязняющих атмосферу веществ стационарными и передвижными источниками;Охрана атмосферного воздуха;Тысяч тонн
Y477070004;Выбросы загрязняющих атмосферу веществ, отходящих от стационарных источников;Охрана атмосферного воздуха;Тысяч тонн
Y477070005;Выпуск молоди водных биологических ресурсов в водные объекты рыбохозяйственного значения;Сохранение биологического разнообразия;Миллионов штук
Y477070006;Государственные природные заповедники и национальные парки;Сохранение биологического разнообразия;
Y477070007;Забор воды из природных водных объектов;Водные ресурсы;Миллионов кубических метров
Y477070008;Инвестиции в основной капитал, направленные на охрану окружающей среды и рациональное использование природных ресурсов;Расходы на охрану окружающей среды и инновации, направленные на улучшение экологии и экологические инновации;В фактически действовавших ценах, миллионов рублей
Y477070009;Индекс физического объема природоохранных расходов;Расходы на охрану окружающей среды и инновации, направленные на улучшение экологии и экологические инновации;В процентах к предыдущему году, в сопоставимых ценах
Y477070010;Искусственное лесовосстановление;Лесные ресурсы;Тысяч гектаров
Y477070011;Использование свежей воды;Водные ресурсы;Миллионов кубических метров
Y477070012;Использование свежей воды на орошение и сельскохозяйственное водоснабжение;Водные ресурсы;Миллионов кубических метров
Y477070013;Использование свежей воды на производственные нужды;Водные ресурсы;Миллионов кубических метров
Y477070014;Использование свежей воды на хозяйственно-питьевые нужды;Водные ресурсы;Миллионов кубических метров
Y477070015;Количество особо охраняемых природных территорий;Сохранение биологического разнообразия;Единиц
Y477070016;Количество охотпользователей;Сохранение биологического разнообразия;Единиц
Y477070017;Лесные пожары на землях лесного фонда и землях иных категорий;Лесные ресурсы;
Y477070018;Лесовосстановление;Лесные ресурсы;Тысяч гектаров
Y477070019;Лесоразведение;Лесные ресурсы;Гектаров
Y477070020;Образование, утилизация, обезвреживание и размещение отходов производства и потребления;Отходы производства и потребления;Тысяч тонн
Y477070021;Общие затраты на ведение охотничьего хозяйства;Сохранение биологического разнообразия;В фактически действовавших ценах, миллионов рублей
Y477070022;Объем оборотного и последовательного использования воды;Водные ресурсы;Миллионов кубических метров
Y477070023;Площадь закрепленных охотничьих угодий;Сохранение биологического разнообразия;Тысяч гектаров
Y477070024;Площадь земель лесного фонда, покрытая лесной растительностью, по основным лесообразующим породам, на конец года;Лесные ресурсы;Тысяч гектаров
Y477070025;Площадь лесных участков, на которой выполнены мероприятия по уничтожению или подавлению численности вредных организмов;Лесные ресурсы;Тысяч гектаров
Y477070026;Площадь особо охраняемых природных территорий;Сохранение биологического разнообразия;Тысяч гектаров
Y477070027;Площадь погибших лесных насаждений;Лесные ресурсы;Гектаров
Y477070028;Площадь рубок ухода за лесом;Лесные ресурсы;Гектаров
Y477070029;Площадь территорий городских поселений, убираемая механизированным способом;Отходы производства и потребления;Тысяч квадратных метров
Y477070030;Потери воды при транспортировке;Водные ресурсы;Миллионов кубических метров
Y477070031;Расходы на охрану окружающей среды;Расходы на охрану окружающей среды и инновации, направленные на улучшение экологии и экологические инновации;В фактически действовавших ценах, миллионов рублей
Y477070032;Ресурсы речного стока;Водные ресурсы;
Y477070033;Сброс загрязненных сточных вод в поверхностные водные объекты;Водные ресурсы;Миллионов кубических метров
Y477070034;Сведения о затратах на содержание особо охраняемых природных территорий;Сохранение биологического разнообразия;В фактически действовавших ценах, миллионов рублей
Y477070035;Сведения о погибших лесных насаждениях;Лесные ресурсы;Гектаров
Y477070036;Состав земель лесного фонда и земель иных категорий, на которых расположены леса, на конец года;Лесные ресурсы;
Y477070037;Текущие затраты на охрану окружающей среды;Расходы на охрану окружающей среды и инновации, направленные на улучшение экологии и экологические инновации;В фактически действовавших ценах, миллионов рублей
Y477070038;Уловлено и обезврежено загрязняющих атмосферу веществ, отходящих от стационарных источников;Охрана атмосферного воздуха;Тысяч тонн
Y477070039;Характеристика состояния атмосферного воздуха;Охрана атмосферного воздуха;
Y477070040;Характеристика состояния водных объектов (водоемы II категории), находящихся в местах рекреации (отдыха) населения;Водные ресурсы;В процентах от общего числа исследованных проб
Y477070041;Характеристика состояния водоемов I категории (используемых в качестве источников питьевого и хозяйственно-бытового водопользования населения);Водные ресурсы;В процентах от общего числа исследованных проб
Y477080001;Зоопарки;Услуги культуры;
Y477080002;Индексы потребительских тарифов на жилищные услуги;Жилищные услуги;Декабрь к декабрю предыдущего года, в процентах
Y477080003;Индексы потребительских тарифов на жилищные услуги без аренды квартир у частных лиц;Жилищные услуги;Декабрь к декабрю предыдущего года, в процентах
Y477080004;Индексы потребительских тарифов на коммунальные услуги;Коммунальные услуги;Декабрь к декабрю предыдущего года, в процентах
Y477080005;Индексы потребительских тарифов на услуги пассажирского транспорта;Транспортные услуги;Декабрь к декабрю предыдущего года, в процентах
Y477080006;Индексы потребительских цен (тарифов) на телекоммуникационные услуги;Услуги в сфере телекоммуникаций;Декабрь к декабрю предыдущего года, в процентах
Y477080007;Индексы потребительских цен (тарифов) на услуги;Платные услуги населению;Декабрь к декабрю предыдущего года, в процентах
Y477080008;Индексы потребительских цен (тарифов) на услуги почтовой связи;Услуги почтовой связи и курьерские;Декабрь к декабрю предыдущего года, в процентах
Y477080009;Индексы потребительских цен (тарифов) на услуги связи;Услуги в сфере телекоммуникаций;Декабрь к декабрю предыдущего года, в процентах
Y477080010;Индексы потребительских цен на бытовые услуги;Бытовые услуги;Декабрь к декабрю предыдущего года, в процентах
Y477080011;Индексы потребительских цен на медицинские услуги;Медицинские услуги и услуги, предоставляемые гражданам пожилого возраста и инвалидам;Декабрь к декабрю предыдущего года, в процентах
Y477080012;Индексы потребительских цен на санаторно-оздоровительные услуги;Услуги в области туризма;Декабрь к декабрю предыдущего года, в процентах
Y477080013;Индексы потребительских цен на услуги в сфере внутреннего и зарубежного туризма;Услуги в области туризма;Декабрь к декабрю предыдущего года, в процентах
Y477080014;Индексы потребительских цен на услуги гостиниц;Услуги в области туризма;Декабрь к декабрю предыдущего года, в процентах
Y477080015;Индексы потребительских цен на услуги образования;Услуги в области образования;Декабрь к декабрю предыдущего года, в процентах
Y477080016;Индексы потребительских цен на услуги организаций культуры;Услуги культуры;Декабрь к декабрю предыдущего года, в процентах
Y477080017;Индексы потребительских цен на услуги правового характера;Юридические услуги;Декабрь к декабрю предыдущего года, в процентах
Y477080018;Индексы потребительских цен на услуги физической культуры и спорта;Услуги физической культуры и спорта;Декабрь к декабрю предыдущего года, в процентах
Y477080019;Индексы потребительских цен на экскурсионные услуги;Услуги в области туризма;Декабрь к декабрю предыдущего года, в процентах
Y477080020;Индексы физического объема жилищных услуг населению;Жилищные услуги;В процентах к предыдущему году
Y477080021;Индексы физического объема коммунальных услуг населению;Коммунальные услуги;В процентах к предыдущему году
Y477080022;Индексы физического объема платных бытовых услуг населению;Бытовые услуги;В процентах к предыдущему году
Y477080023;Индексы физического объема платных медицинских услуг населению;Медицинские услуги и услуги, предоставляемые гражданам пожилого возраста и инвалидам;В процентах к предыдущему году
Y477080024;Индексы физического объема платных туристских услуг;Услуги в области туризма;В процентах к предыдущему году
Y477080025;Индексы физического объема платных услуг в системе образования;Услуги в области образования;В процентах к предыдущему году
Y477080026;Индексы физического объема платных услуг гостиниц и аналогичных средств размещения;Услуги в области туризма;В процентах к предыдущему году
Y477080027;Индексы физического объема платных услуг гостиниц и аналогичных услуг по предоставлению временного жилья;Услуги в области туризма;В процентах к предыдущему году
Y477080028;Индексы физического объема платных услуг культуры;Услуги культуры;В процентах к предыдущему году
Y477080029;Индексы физического объема платных услуг населению;Платные услуги населению;В процентах к предыдущему году
Y477080030;Индексы физического объема платных услуг санаторно-курортных организаций;Услуги в области туризма;В процентах к предыдущему году
Y477080031;Индексы физического объема платных услуг специализированных коллективных средств размещения;Услуги в области туризма;В процентах к предыдущему году
Y477080032;Индексы физического объема платных услуг туристических агентств, туроператоров и прочих услуг по бронированию и сопутствующих им услуг;Услуги в области туризма;В процентах к предыдущему году
Y477080033;Индексы физического объема платных услуг учреждений культуры;Услуги учреждений культуры;В процентах к предыдущему году
Y477080034;Индексы физического объема платных услуг физической культуры и спорта;Услуги физической культуры и спорта;В процентах к предыдущему году
Y477080035;Индексы физического объема телекоммуникационных услуг населению;Услуги в сфере телекоммуникаций;В процентах к предыдущему году
Y477080036;Индексы физического объема транспортных услуг населению;Транспортные услуги;В процентах к предыдущему году
Y477080037;Индексы физического объема услуг почтовой связи и курьерских услуг населению;Услуги почтовой связи и курьерские;В процентах к предыдущему году
Y477080038;Индексы физического объема юридических услуг;Юридические услуги;В процентах к предыдущему году
Y477080039;Объем жилищных услуг населению;Жилищные услуги;Миллионов рублей
Y477080040;Объем коммунальных услуг населению;Коммунальные услуги;Миллионов рублей
Y477080041;Объем платных бытовых услуг населению;Бытовые услуги;Миллионов рублей
Y477080042;Объем платных медицинских услуг населению;Медицинские услуги и услуги, предоставляемые гражданам пожилого возраста и инвалидам;Миллионов рублей
Y477080043;Объем платных туристских услуг населению;Услуги в области туризма;Миллионов рублей
Y477080044;Объем платных услуг в системе образования;Услуги в области образования;Миллионов рублей
Y477080045;Объем платных услуг гостиниц и аналогичных средств размещения;Услуги в области туризма;Миллионов рублей
Y477080046;Объем платных услуг гостиниц и аналогичных услуг по предоставлению временного жилья;Услуги в области туризма;Миллионов рублей
Y477080047;Объем платных услуг культуры;Услуги культуры;Миллионов рублей
Y477080048;Объем платных услуг населению;Платные услуги населению;Миллионов рублей
Y477080049;Объем платных услуг санаторно-курортных организаций;Услуги в области туризма;Миллионов рублей
Y477080050;Объем платных услуг специализированных коллективных средств размещения;Услуги в области туризма;Миллионов рублей
Y477080051;Объем платных услуг туристических агентств, туроператоров и прочих услуг по бронированию и сопутствующих им услуг;Услуги в области туризма;Миллионов рублей
Y477080052;Объем платных услуг учреждений культуры;Услуги учреждений культуры;Миллионов рублей
Y477080053;Объем платных услуг физической культуры и спорта;Услуги физической культуры и спорта;Миллионов рублей
Y477080054;Объем телекоммуникационных услуг населению;Услуги в сфере телекоммуникаций;Миллионов рублей
Y477080055;Объем транспортных услуг населению;Транспортные услуги;Миллионов рублей
Y477080056;Объем услуг почтовой связи и курьерских услуг населению;Услуги почтовой связи и курьерские;Миллионов рублей
Y477080057;Объем юридических услуг населению;Юридические услуги;Миллионов рублей
Y477080058;Показатели платных ритуальных услуг;Бытовые услуги;
Y477080059;Показатели платных услуг каршеринга;Бытовые услуги;
Y477080060;Показатели платных услуг парикмахерских и косметических;Бытовые услуги;
Y477080061;Показатели платных услуг по изготовлению и ремонту мебели;Бытовые услуги;
Y477080062;Показатели платных услуг по ремонту и пошиву швейных, меховых и кожаных изделий, головных уборов и изделий текстильной галантереи, ремонту, пошиву и вязанию трикотажных изделий;Бытовые услуги;
Y477080063;Показатели платных услуг по ремонту и строительству жилья и других построек;Бытовые услуги;
Y477080064;Показатели платных услуг по ремонту и техническому обслуживанию бытовой радиоэлектронной аппаратуры, бытовых машин и приборов, ремонту и изготовлению металлоизделий;Бытовые услуги;
Y477080065;Показатели платных услуг по ремонту, окраске и пошиву обуви;Бытовые услуги;
Y477080066;Показатели платных услуг по техническому обслуживанию и ремонту транспортных средств, машин и оборудования;Бытовые услуги;
Y477080067;Показатели платных услуг по химической чистке и крашению, услуг прачечных;Бытовые услуги;
Y477080068;Показатели платных услуг предприятий по аренде и лизингу легковых автомобилей и легких автотранспортных средств;Бытовые услуги;
