section;row_count;indicator_count;year_min;year_max;pct_ok
Итоги сплошного обследования розничных рынков;1728;3;2010;2022;0.8623
Отходы производства и потребления;1632;2;2017;2023;0.9988
Услуги почтовой связи и курьерские;1440;3;2020;2024;1.0
Услуги учреждений культуры;1440;3;2010;2024;0.9917
Условия жизни населения;1440;2;2022;2024;0.9757
Уровень и динамика цен в строительстве;1152;1;2018;2023;0.9896
Финансовый рынок;1152;1;2018;2023;0.3559
Уровень и динамика цен в сельском хозяйстве;1152;1;2018;2023;0.9896
Численность пенсионеров;864;2;2023;2024;1.0
Уровень благосостояния, социальное обеспечение и социальная помощь;864;2;2021;2022;1.0
Производство и импорт важнейших видов продукции для строительной деятельности;788;13;2016;2023;0.9492
Уровень и динамика цен производителей промышленных товаров;696;2;2018;2021;0.9641
Динамика цен производителей промышленных товаров;680;2;2020;2023;0.9824
